UNIXTIME;Дата;Время;Температура за окном;Атмосферное давление
1678126920;07.03.2023;00:22:00;8.03;704.2
1678128660;07.03.2023;00:51:00;7.98;704.03
1678130340;07.03.2023;01:19:00;7.34;703.99
1678132080;07.03.2023;01:48:00;6.76;704.21
1678133820;07.03.2023;02:17:00;6.74;704.06
1678135560;07.03.2023;02:46:00;7.39;703.93
1678137300;07.03.2023;03:15:00;7.2;703.84
1678138980;07.03.2023;03:43:00;6.95;703.7
1678140720;07.03.2023;04:12:00;6.86;703.56
1678142460;07.03.2023;04:41:00;6.78;703.61
1678144200;07.03.2023;05:10:00;6.96;703.26
1678145940;07.03.2023;05:39:00;7.35;703.02
1678147620;07.03.2023;06:07:00;5.45;703.04
1678149360;07.03.2023;06:36:00;5.23;703.12
1678151100;07.03.2023;07:05:00;4.85;703.4
1678152840;07.03.2023;07:34:00;4.66;703.38
1678154520;07.03.2023;08:02:00;6.79;703.21
1678156260;07.03.2023;08:31:00;10.22;703.25
1678158000;07.03.2023;09:00:00;13.48;703.24
1678159740;07.03.2023;09:29:00;17.58;703.16
1678161480;07.03.2023;09:58:00;15.37;702.89
1678163220;07.03.2023;10:27:00;15.43;702.78
1678164960;07.03.2023;10:56:00;15.09;702.6
1678166700;07.03.2023;11:25:00;16.41;702.15
1678168440;07.03.2023;11:54:00;17.95;701.91
1678170120;07.03.2023;12:22:00;18.37;701.78
1678171860;07.03.2023;12:51:00;21.53;701.8
1678173600;07.03.2023;13:20:00;23;701.68
1678175340;07.03.2023;13:49:00;20.5;701.38
1678177080;07.03.2023;14:18:00;22.08;701.36
1678178820;07.03.2023;14:47:00;21.71;701.27
1678180500;07.03.2023;15:15:00;21.64;701.24
1678182240;07.03.2023;15:44:00;19.83;701.06
1678183980;07.03.2023;16:13:00;19.53;701.03
1678185720;07.03.2023;16:42:00;19.14;701.09
1678187400;07.03.2023;17:10:00;18.7;700.96
1678189140;07.03.2023;17:39:00;18.16;701.03
1678190880;07.03.2023;18:08:00;17.55;701.05
1678192620;07.03.2023;18:37:00;16.49;700.91
1678194300;07.03.2023;19:05:00;15.19;700.98
1678196040;07.03.2023;19:34:00;14.22;701.02
1678197780;07.03.2023;20:03:00;13.05;700.87
1678199520;07.03.2023;20:32:00;12.46;700.68
1678201200;07.03.2023;21:00:00;11.15;700.6
1678202940;07.03.2023;21:29:00;10.67;700.46
1678204680;07.03.2023;21:58:00;10.42;700.36
1678206420;07.03.2023;22:27:00;9.51;700.53
1678208160;07.03.2023;22:56:00;8.74;700.55
1678209900;07.03.2023;23:25:00;8.45;700.31
1678211580;07.03.2023;23:53:00;8.11;700.07
1678213320;08.03.2023;00:22:00;7.4;700.12
1678215060;08.03.2023;00:51:00;7.27;700.07
1678216800;08.03.2023;01:20:00;7.02;699.82
1678218540;08.03.2023;01:49:00;6.77;699.47
1678220220;08.03.2023;02:17:00;6.68;699.4
1678221960;08.03.2023;02:46:00;6.53;699.37
1678223700;08.03.2023;03:15:00;6.57;699.16
1678225440;08.03.2023;03:44:00;6.25;698.96
1678227180;08.03.2023;04:13:00;6.11;698.93
1678228860;08.03.2023;04:41:00;6.12;698.9
1678230600;08.03.2023;05:10:00;6.63;698.79
1678232340;08.03.2023;05:39:00;6.78;698.56
1678234080;08.03.2023;06:08:00;6.3;698.68
1678235820;08.03.2023;06:37:00;6;698.76
1678237500;08.03.2023;07:05:00;5.8;698.7
1678239240;08.03.2023;07:34:00;5.78;698.74
1678240980;08.03.2023;08:03:00;6.64;698.82
1678242720;08.03.2023;08:32:00;8.15;698.81
1678244400;08.03.2023;09:00:00;8.76;699.07
1678246140;08.03.2023;09:29:00;9.79;698.98
