UNIXTIME;Дата;Время;Температура улица сенсор1.;Влажность воздуха улица;Атмосферное давление;Температура улица сенсор2.
1678125600;07.03.2023;00:00:00;6.64;95.35;702.05;6.81
1678125900;07.03.2023;00:05:00;6.44;96.17;702.06;6.56
1678126200;07.03.2023;00:10:00;6.28;96.7;702.13;6.43
1678126500;07.03.2023;00:15:00;6.25;97.34;702.1;6.37
1678126800;07.03.2023;00:20:00;5.93;97.26;702.04;6.06
1678127100;07.03.2023;00:25:00;5.79;97.51;702.04;5.93
1678127400;07.03.2023;00:30:00;5.65;97.77;702.01;5.75
1678127700;07.03.2023;00:35:00;5.65;98.19;701.94;5.75
1678128000;07.03.2023;00:40:00;5.67;98.43;701.92;5.81
1678128300;07.03.2023;00:45:00;5.66;98.67;701.82;5.81
1678128600;07.03.2023;00:50:00;5.75;98.97;701.79;5.93
1678128900;07.03.2023;00:55:00;5.74;99.08;701.85;5.87
1678129200;07.03.2023;01:00:00;5.52;98.97;701.82;5.62
1678129500;07.03.2023;01:05:00;5.53;99.16;701.87;5.62
1678129800;07.03.2023;01:10:00;5.41;99.18;701.83;5.56
1678130100;07.03.2023;01:15:00;5.31;99.09;701.81;5.43
1678130400;07.03.2023;01:20:00;5.1;99.06;701.71;5.18
1678130700;07.03.2023;01:25:00;5.11;99.3;701.77;5.25
1678131000;07.03.2023;01:30:00;4.88;99.25;701.85;5
1678131300;07.03.2023;01:35:00;4.81;99.39;701.79;5
1678131600;07.03.2023;01:40:00;4.96;99.69;701.8;5.12
1678131900;07.03.2023;01:45:00;4.88;99.84;701.88;5
1678132200;07.03.2023;01:50:00;4.85;99.93;701.93;5
1678132500;07.03.2023;01:55:00;4.78;99.99;701.9;4.93
1678132800;07.03.2023;02:00:00;4.74;99.99;701.95;4.87
1678133100;07.03.2023;02:05:00;4.77;99.99;701.91;4.93
1678133400;07.03.2023;02:10:00;4.68;99.99;701.78;4.81
1678133700;07.03.2023;02:15:00;4.8;99.99;701.8;5
1678134000;07.03.2023;02:20:00;4.58;99.99;701.86;4.75
1678134300;07.03.2023;02:25:00;4.86;99.99;701.89;5
1678134600;07.03.2023;02:30:00;4.92;99.99;701.88;5.06
1678134900;07.03.2023;02:35:00;4.74;99.99;701.88;4.87
1678135200;07.03.2023;02:40:00;4.54;99.99;701.74;4.68
1678135500;07.03.2023;02:45:00;4.74;99.99;701.72;4.87
1678135800;07.03.2023;02:50:00;4.74;99.99;701.73;4.87
1678136100;07.03.2023;02:55:00;4.69;99.99;701.73;4.81
1678136400;07.03.2023;03:00:00;4.62;99.99;701.66;4.81
1678136700;07.03.2023;03:05:00;4.42;99.99;701.67;4.56
1678137000;07.03.2023;03:10:00;4.48;99.99;701.61;4.62
1678137300;07.03.2023;03:15:00;4.49;99.99;701.6;4.62
1678137600;07.03.2023;03:20:00;4.47;99.99;701.61;4.62
1678137900;07.03.2023;03:25:00;4.46;99.99;701.56;4.62
1678138200;07.03.2023;03:30:00;4.45;99.99;701.59;4.62
1678138500;07.03.2023;03:35:00;4.64;99.99;701.54;4.81
1678138800;07.03.2023;03:40:00;4.84;99.99;701.41;5
1678139100;07.03.2023;03:45:00;4.65;99.99;701.42;4.81
1678139400;07.03.2023;03:50:00;4.41;99.99;701.49;4.56
1678139700;07.03.2023;03:55:00;4.37;99.99;701.39;4.5
1678140000;07.03.2023;04:00:00;4.21;99.99;701.42;4.37
1678140300;07.03.2023;04:05:00;4.19;99.99;701.41;4.31
1678140600;07.03.2023;04:10:00;4.01;99.99;701.36;4.12
1678140900;07.03.2023;04:15:00;3.81;99.99;701.33;3.93
1678141200;07.03.2023;04:20:00;3.78;99.99;701.27;3.93
1678141500;07.03.2023;04:25:00;3.58;99.99;701.31;3.68
1678141800;07.03.2023;04:30:00;3.57;99.99;701.34;3.68
1678142100;07.03.2023;04:35:00;3.55;99.99;701.36;3.62
1678142400;07.03.2023;04:40:00;3.54;99.99;701.31;3.68
1678142700;07.03.2023;04:45:00;3.51;99.99;701.32;3.62
