UNIXTIME;Дата;Время;H2;T2
1678125840;07.03.2023;00:04:00;32.95;24.28
1678126140;07.03.2023;00:09:00;33.01;24.24
1678126500;07.03.2023;00:15:00;33.09;24.21
1678126740;07.03.2023;00:19:00;33.2;24.14
1678127400;07.03.2023;00:30:00;33.5;24.1
1678127880;07.03.2023;00:38:00;34.11;24.07
1678128300;07.03.2023;00:45:00;34.64;24.14
1678128840;07.03.2023;00:54:00;34.04;24.26
1678129140;07.03.2023;00:59:00;34.09;24.14
1678129500;07.03.2023;01:05:00;33.84;24.29
1678130040;07.03.2023;01:14:00;33.48;24.64
1678130340;07.03.2023;01:19:00;33.35;24.72
1678130640;07.03.2023;01:24:00;32.95;24.91
1678130940;07.03.2023;01:29:00;32.44;25.23
1678131540;07.03.2023;01:39:00;31.99;25.4
1678131900;07.03.2023;01:45:00;31.89;25.36
1678132140;07.03.2023;01:49:00;31.51;25.5
1678132800;07.03.2023;02:00:00;31.44;25.36
1678133100;07.03.2023;02:05:00;31.34;25.29
1678133340;07.03.2023;02:09:00;31.36;25.18
1678133640;07.03.2023;02:14:00;31.46;24.98
1678134000;07.03.2023;02:20:00;31.44;24.93
1678134540;07.03.2023;02:29:00;31.5;24.75
1678134840;07.03.2023;02:34:00;31.25;24.74
1678135200;07.03.2023;02:40:00;31.28;24.69
1678135740;07.03.2023;02:49:00;31.2;24.66
1678136100;07.03.2023;02:55:00;31.26;24.59
1678136340;07.03.2023;02:59:00;31.29;24.6
1678136940;07.03.2023;03:09:00;31.19;24.49
1678137240;07.03.2023;03:14:00;30.96;24.51
1678137540;07.03.2023;03:19:00;31.03;24.51
1678137840;07.03.2023;03:24:00;31;24.47
1678138140;07.03.2023;03:29:00;30.86;24.49
1678138440;07.03.2023;03:34:00;30.73;24.45
1678139040;07.03.2023;03:44:00;30.59;24.43
1678139640;07.03.2023;03:54:00;30.62;24.44
1678139940;07.03.2023;03:59:00;30.47;24.45
1678140540;07.03.2023;04:09:00;30.46;24.41
1678141140;07.03.2023;04:19:00;30.38;24.43
1678141440;07.03.2023;04:24:00;30.25;24.44
1678142040;07.03.2023;04:34:00;30.16;24.47
1678142340;07.03.2023;04:39:00;30.3;24.46
1678142640;07.03.2023;04:44:00;30.12;24.49
1678142940;07.03.2023;04:49:00;30.09;24.47
1678143240;07.03.2023;04:54:00;29.96;24.47
1678143540;07.03.2023;04:59:00;29.91;24.45
1678144140;07.03.2023;05:09:00;29.71;24.45
1678144740;07.03.2023;05:19:00;29.57;24.4
1678145040;07.03.2023;05:24:00;29.56;24.42
1678145340;07.03.2023;05:29:00;29.52;24.38
1678145940;07.03.2023;05:39:00;29.54;24.4
1678146240;07.03.2023;05:44:00;29.38;24.4
1678146900;07.03.2023;05:55:00;29.06;24.25
1678147140;07.03.2023;05:59:00;29.07;24.22
1678147440;07.03.2023;06:04:00;29.03;24.23
1678148040;07.03.2023;06:14:00;28.93;24.24
1678148340;07.03.2023;06:19:00;28.74;24.32
1678148700;07.03.2023;06:25:00;28.62;24.34
1678149240;07.03.2023;06:34:00;28.47;24.37
1678149540;07.03.2023;06:39:00;28.45;24.37
1678150140;07.03.2023;06:49:00;28.34;24.35
1678150740;07.03.2023;06:59:00;28.11;24.31
1678151100;07.03.2023;07:05:00;28.05;24.3
1678151340;07.03.2023;07:09:00;27.92;24.34
1678151640;07.03.2023;07:14:00;27.79;24.35
1678152240;07.03.2023;07:24:00;27.88;24.37
1678152900;07.03.2023;07:35:00;27.74;24.39
1678153140;07.03.2023;07:39:00;27.69;24.35
1678153440;07.03.2023;07:44:00;27.61;24.36
1678153740;07.03.2023;07:49:00;27.63;24.36
1678154340;07.03.2023;07:59:00;27.43;24.37
1678154640;07.03.2023;08:04:00;27.53;24.36
1678154940;07.03.2023;08:09:00;27.58;24.37
1678155240;07.03.2023;08:14:00;27.44;24.39
1678155540;07.03.2023;08:19:00;27.45;24.42
1678155840;07.03.2023;08:24:00;27.27;24.44
1678156140;07.03.2023;08:29:00;27.37;24.4
1678156440;07.03.2023;08:34:00;27.25;24.32
1678156740;07.03.2023;08:39:00;27.28;24.26
1678157040;07.03.2023;08:44:00;27.28;24.26
1678157340;07.03.2023;08:49:00;27.23;24.28
1678158240;07.03.2023;09:04:00;27.24;24.23
1678158540;07.03.2023;09:09:00;27.22;24.29
1678158840;07.03.2023;09:14:00;27.14;24.3
1678159140;07.03.2023;09:19:00;27;24.34
1678159440;07.03.2023;09:24:00;27.04;24.32
1678160040;07.03.2023;09:34:00;27.63;24.6
1678160640;07.03.2023;09:44:00;27.05;24.9
1678160940;07.03.2023;09:49:00;26.86;25.07
1678161240;07.03.2023;09:54:00;26.89;25.28
1678161540;07.03.2023;09:59:00;27.19;25.38
1678162140;07.03.2023;10:09:00;26.75;25.86
1678162440;07.03.2023;10:14:00;26.41;26.02
1678162740;07.03.2023;10:19:00;25.93;26.15
1678163040;07.03.2023;10:24:00;26.02;26.18
1678163340;07.03.2023;10:29:00;25.92;26.31
1678163760;07.03.2023;10:36:00;25.89;25.89
1678164060;07.03.2023;10:41:00;26.4;25.69
1678164420;07.03.2023;10:47:00;26.48;25.54
1678164720;07.03.2023;10:52:00;26.35;25.42
1678165320;07.03.2023;11:02:00;26.29;25.23
1678166100;07.03.2023;11:15:00;26.47;25.32
1678166400;07.03.2023;11:20:00;26;25.25
1678166700;07.03.2023;11:25:00;25.76;25.21
1678167000;07.03.2023;11:30:00;25.75;25.14
1678167540;07.03.2023;11:39:00;25.99;25.2
1678167840;07.03.2023;11:44:00;25.94;25.26
1678168500;07.03.2023;11:55:00;26.28;25.25
1678169040;07.03.2023;12:04:00;26.23;25.27
1678169700;07.03.2023;12:15:00;26.24;25.36
1678170000;07.03.2023;12:20:00;26.09;25.35
1678170240;07.03.2023;12:24:00;26.31;25.3
1678170600;07.03.2023;12:30:00;26.23;25.23
1678170900;07.03.2023;12:35:00;26.84;25.26
1678171440;07.03.2023;12:44:00;27.58;25.54
1678171740;07.03.2023;12:49:00;28.16;25.71
1678172040;07.03.2023;12:54:00;26.64;25.84
1678172640;07.03.2023;13:04:00;26.99;25.63
1678172940;07.03.2023;13:09:00;27.12;25.78
1678173240;07.03.2023;13:14:00;26.89;25.85
1678173540;07.03.2023;13:19:00;26.71;25.88
1678173900;07.03.2023;13:25:00;26.26;25.85
1678174260;07.03.2023;13:31:00;26.61;25.73
1678174920;07.03.2023;13:42:00;26.03;25.62
1678175220;07.03.2023;13:47:00;26.43;25.49
1678175820;07.03.2023;13:57:00;26.44;25.52
1678176120;07.03.2023;14:02:00;26.41;25.44
1678176660;07.03.2023;14:11:00;26.72;25.39
1678176960;07.03.2023;14:16:00;27.84;25.44
1678177260;07.03.2023;14:21:00;27.93;25.57
1678177740;07.03.2023;14:29:00;27.47;25.81
1678178040;07.03.2023;14:34:00;27.66;25.88
1678178340;07.03.2023;14:39:00;27.32;26
1678178940;07.03.2023;14:49:00;27.65;25.97
1678179240;07.03.2023;14:54:00;27.18;26
1678179840;07.03.2023;15:04:00;27.55;25.88
1678180440;07.03.2023;15:14:00;27.65;25.97
1678180740;07.03.2023;15:19:00;27.97;25.93
1678181340;07.03.2023;15:29:00;28.19;25.83
1678181640;07.03.2023;15:34:00;28.25;25.76
1678182540;07.03.2023;15:49:00;28.44;25.88
1678183080;07.03.2023;15:58:00;28.29;26
1678183500;07.03.2023;16:05:00;28.26;26.01
1678183800;07.03.2023;16:10:00;28.21;26.01
1678184100;07.03.2023;16:15:00;28.45;25.99
1678184700;07.03.2023;16:25:00;29.41;26.19
1678185300;07.03.2023;16:35:00;28.81;26.36
